Bigram,Topic
tax_dollar,x
taxpayer_money,x
taxpayer_dollar,x
human_right,civil_rights
civil_right,civil_rights
right_vote,civil_rights
roll_back,civil_rights
voter_suppression,civil_rights
free_speech,civil_rights
equal_right,civil_rights
voting_right,civil_rights
due_process,civil_rights
protect_right,civil_rights
free_press,civil_rights
supreme_court,courts
brett_kavanaugh,courts
judge_kavanaugh,courts
dr_ford,courts
court_justice,courts
judiciary_committee,courts
brett_kavanaughs,courts
blasey_ford,courts
court_nominee,courts
vote_confirm,courts
judge_kavanaughs,courts
criminal_justice,criminal_justice
justice_system,criminal_justice
opioid_epidemic,drugs
opioid_crisis,drugs
combat_opioid,drugs
fight_opioid,drugs
equal_pay,econ_inequality
big_corporation,econ_inequality
living_wage,econ_inequality
affordable_housing,econ_inequality
economic_opportunity,econ_inequality
small_business,econ_jobs
middle_class,econ_jobs
trade_war,econ_jobs
work_people,econ_jobs
create_job,econ_jobs
american_worker,econ_jobs
business_owner,econ_jobs
good_job,econ_jobs
protect_american,econ_jobs
wall_street,econ_jobs
economic_growth,econ_jobs
minimum_wage,econ_jobs
new_job,econ_jobs
get_job,econ_jobs
work_american,econ_jobs
grow_economy,econ_jobs
pay_raise,econ_jobs
business_leader,econ_jobs
stock_market,econ_jobs
unemployment_rate,econ_jobs
get_pay,econ_jobs
worker_right,econ_jobs
high_school,x
public_school,education
public_education,education
student_loan,education
school_student,x
high_education,education
climate_change,environment
public_land,environment
clean_energy,environment
protect_environment,environment
clean_air,environment
renewable_energy,environment
national_park,environment
fossil_fuel,environment
work_family,x
child_parent,x
child_family,x
american_family,x
keep_family,x
family_member,x
family_across,x
national_security,foreign_policy
north_korea,foreign_policy
foreign_policy,foreign_policy
america_first,foreign_policy
saudi_arabia,foreign_policy
iran_deal,foreign_policy
middle_east,foreign_policy
special_interest,governance
federal_government,x
dark_money,governance
drain_swamp,governance
corporate_pac,governance
take_money,governance
big_money,governance
money_politics,governance
campaign_finance,governance
term_limit,governance
voter_fraud,governance
federal_law,x
gun_violence,guns
background_check,guns
gun_control,guns
gun_safety,guns
assault_weapon,guns
2nd_amendment,guns
gun_law,guns
second_amendment,guns
gun_reform,guns
mass_shooting,guns
commonsense_gun,guns
sense_gun,guns
school_shooting,guns
health_care,health
preexist_condition,health
preexisting_condition,health
health_insurance,health
mental_health,health
affordable_care,health
care_act,health
insurance_company,health
affordable_health,health
public_health,health
health_center,health
affordable_healthcare,health
people_preexist,health
care_system,health
medicare_social,health
quality_affordable,health
community_health,health
access_health,health
access_quality,health
medicare_medicaid,health
protection_preexist,health
deny_coverage,health
expand_access,health
access_affordable,health
security_medicare,health
secure_border,immigration
build_wall,immigration
open_border,immigration
illegal_immigrant,immigration
illegal_alien,immigration
border_wall,immigration
border_security,immigration
sanctuary_city,immigration
family_separation,immigration
illegal_immigration,immigration
immigration_reform,immigration
southern_border,immigration
separate_family,immigration
separate_child,immigration
abolish_ice,immigration
border_patrol,immigration
immigration_policy,immigration
separate_parent,immigration
seek_asylum,immigration
child_separate,immigration
air_force,x
service_member,x
world_war,x
ultimate_sacrifice,x
prescription_drug,pharma
drug_price,pharma
big_pharma,pharma
drug_company,pharma
law_enforcement,x
police_officer,x
rule_law,x
first_responder,x
enforcement_officer,x
public_safety,x
community_safe,x
puerto_rico,puerto_rico
hurricane_maria,puerto_rico
white_supremacist,x
african_american,x
native_american,x
black_woman,x
people_color,x
white_men,x
farm_bill,rural
rural_community,rural
farmer_rancher,rural
special_counsel,russia
mueller_investigation,russia
witch_hunt,russia
sexual_assault,x
sexual_harassment,x
shut_government,shutdown
government_shutdown,shutdown
social_security,social_security
security_medicare,social_security
tax_cut,taxes
tax_reform,taxes
tax_break,taxes
tax_bill,taxes
trump_tax,taxes
raise_tax,taxes
tax_scam,taxes
pay_tax,taxes
cut_tax,taxes
gop_tax,taxes
low_tax,taxes
tax_law,taxes
tax_credit,taxes
net_neutrality,technology
open_internet,technology
woman_right,women_rights
plan_parenthood,women_rights
roe_wade,women_rights
put_life,women_rights
domestic_violence,women_rights
woman_make,women_rights
president_trump,x
make_sure,x
look_forward,x
donald_trump,x
united_state,x
last_night,x
white_house,x
every_day,x
american_people,x
trump_administration,x
get_vote,x
follow_back,x
election_day,x
im_proud,x
look_like,x
town_hall,x
year_ago,x
work_hard,x
knock_door,x
open_letter,x
hard_work,x
men_woman,x
work_together,x
god_bless,x
early_voting,x
need_help,x
last_week,x
last_year,x
great_time,x
across_country,x
register_vote,x
cant_wait,x
make_america,x
new_jersey,x
new_york,x
dont_want,x
take_back,x
let_get,x
come_together,x
happy_birthday,x
common_sense,x
great_see,x
fight_back,x
dont_know,x
america_great,x
across_state,x
thank_support,x
help_get,x
vote_vote,x
dont_forget,x
every_single,x
million_american,x
take_away,x
young_people,x
geoff_diehl,x
continue_fight,x
fake_news,x
mr_president,x
go_vote,x
make_difference,x
november_6th,x
bob_menendez,x
blue_wave,x
like_retweet,x
im_run,x
keep_fight,x
thank_much,x
retweet_follow,x
take_action,x
new_mexico,x
washington_dc,x
west_virginia,x
weve_get,x
im_go,x
vote_today,x
vote_early,x
dont_let,x
deserve_good,x
thanks_everyone,x
get_back,x
campaign_trail,x
continue_work,x
dont_care,x
north_dakota,x
american_dream,x
go_back,x
sound_like,x
never_forget,x
democratic_party,x
proud_support,x
great_day,x
good_luck,x
right_thing,x
people_like,x
im_glad,x
member_congress,x
would_like,x
good_news,x
make_voice,x
congressional_district,x
dont_need,x
first_time,x
republican_party,x
get_thing,x
john_james,x
dont_think,x
get_ready,x
fox_news,x
get_involve,x
support_campaign,x
let_make,x
one_thing,x
voice_hear,x
last_day,x
let_know,x
bob_hugin,x
run_congress,x
many_people,x
spread_word,x
day_leave,x
great_news,x
need_get,x
day_election,x
de_la,x
social_medium,x
sign_petition,x
im_sure,x
trump_supporter,x
thank_everyone,x
join_team,x
take_care,x
elect_official,x
yard_sign,x
hold_accountable,x
let_go,x
forward_work,x
vote_november,x
glad_see,x
everyone_come,x
year_old,x
vote_blue,x
poll_place,x
help_make,x
im_honor,x
must_stop,x
