Topic,Group,Class,Word,Count
civil_rights,dem-lead,0,people,197.0
civil_rights,dem-lead,0,law,169.0
civil_rights,dem-lead,0,democracy,156.0
civil_rights,dem-lead,0,one,156.0
civil_rights,dem-lead,0,honor,109.0
civil_rights,dem-lead,0,work,98.5
civil_rights,dem-lead,0,worker,83.0
civil_rights,dem-lead,0,due,66.0
civil_rights,dem-lead,0,bob,49.0
civil_rights,dem-lead,0,president,42.0
civil_rights,dem-lead,1,justice,133.0
civil_rights,dem-lead,1,always,37.0
civil_rights,dem-lead,1,ballot,37.0
civil_rights,dem-lead,1,womens,35.0
civil_rights,dem-lead,1,clean,32.0
civil_rights,dem-lead,1,#womensequalityday,25.0
civil_rights,dem-lead,1,part,23.0
civil_rights,dem-lead,1,also,23.0
civil_rights,dem-lead,1,news,18.0
civil_rights,dem-lead,1,fight,17.333333333333332
civil_rights,dem-base,0,#democrats,143.0
civil_rights,dem-base,0,#voteblue,52.400000000000006
civil_rights,dem-base,0,would,51.0
civil_rights,dem-base,0,dems,49.0
civil_rights,dem-base,0,#trump,44.0
civil_rights,dem-base,0,people,40.666666666666664
civil_rights,dem-base,0,happen,34.0
civil_rights,dem-base,0,trump,31.333333333333332
civil_rights,dem-base,0,constitution,25.0
civil_rights,dem-base,0,blue,24.0
civil_rights,dem-base,1,woman,60.0
civil_rights,dem-base,1,democrat,23.0
civil_rights,dem-base,1,#resistance,17.0
civil_rights,dem-base,1,poll,17.0
civil_rights,dem-base,1,know,16.0
civil_rights,dem-base,1,thats,15.0
civil_rights,dem-base,1,amendment,12.0
civil_rights,dem-base,1,racist,9.0
civil_rights,dem-base,1,ensure,9.0
civil_rights,dem-base,1,happen,9.0
civil_rights,rep-lead,0,back,123.0
civil_rights,rep-lead,0,abuse,44.0
civil_rights,rep-lead,0,ago,14.0
civil_rights,rep-lead,0,accountable,13.0
civil_rights,rep-lead,0,want,11.0
civil_rights,rep-lead,0,voter,10.75
civil_rights,rep-lead,0,family,8.5
civil_rights,rep-lead,0,congressional,8.0
civil_rights,rep-lead,0,glad,8.0
civil_rights,rep-lead,0,meet,7.0
civil_rights,rep-lead,1,due,36.0
civil_rights,rep-lead,1,join,20.0
civil_rights,rep-lead,1,process,13.0
civil_rights,rep-lead,1,people,11.0
civil_rights,rep-lead,1,find,8.0
civil_rights,rep-lead,1,voter,8.0
civil_rights,rep-lead,1,#nra,7.0
civil_rights,rep-lead,1,use,6.5
civil_rights,rep-lead,1,decision,6.0
civil_rights,rep-lead,1,african,6.0
civil_rights,rep-base,0,suppression,72.0
civil_rights,rep-base,0,isnt,20.0
civil_rights,rep-base,0,left,18.0
civil_rights,rep-base,0,right,15.142857142857142
civil_rights,rep-base,0,another,13.0
civil_rights,rep-base,0,#college,11.0
civil_rights,rep-base,0,#patriotprayer,11.0
civil_rights,rep-base,0,job,10.0
civil_rights,rep-base,0,ban,9.0
civil_rights,rep-base,0,environment,9.0
civil_rights,rep-base,1,right,231.0
civil_rights,rep-base,1,vote,17.0
civil_rights,rep-base,1,#maga,12.533333333333333
civil_rights,rep-base,1,see,11.0
civil_rights,rep-base,1,rule,11.0
civil_rights,rep-base,1,america,8.666666666666666
civil_rights,rep-base,1,report,8.0
civil_rights,rep-base,1,life,7.5
civil_rights,rep-base,1,protect,6.5
civil_rights,rep-base,1,voting,6.0
courts,dem-lead,0,ford,266.0
courts,dem-lead,0,senate,255.0
courts,dem-lead,0,reproductive,56.0
courts,dem-lead,0,view,36.0
courts,dem-lead,0,back,35.0
courts,dem-lead,0,face,29.0
courts,dem-lead,0,wrong,27.0
courts,dem-lead,0,side,25.0
courts,dem-lead,0,already,25.0
courts,dem-lead,0,cannot,24.0
courts,dem-lead,1,ford,207.0
courts,dem-lead,1,hearing,54.0
courts,dem-lead,1,see,29.0
courts,dem-lead,1,speak,22.0
courts,dem-lead,1,house,21.0
courts,dem-lead,1,listen,21.0
courts,dem-lead,1,civil,19.0
courts,dem-lead,1,counsel,17.0
courts,dem-lead,1,equal,17.0
courts,dem-lead,1,first,14.0
courts,dem-base,0,democrat,56.0
courts,dem-base,0,dr,54.666666666666664
courts,dem-base,0,power,35.0
courts,dem-base,0,november,28.0
courts,dem-base,0,#metoo,21.0
courts,dem-base,0,#republicans,16.0
courts,dem-base,0,thats,16.0
courts,dem-base,0,find,15.0
courts,dem-base,0,appointment,12.0
courts,dem-base,0,demand,11.0
courts,dem-base,1,allegation,18.0
courts,dem-base,1,#kavanaugh,14.0
courts,dem-base,1,week,10.0
courts,dem-base,1,lead,10.0
courts,dem-base,1,brett,9.625
courts,dem-base,1,seat,8.0
