Topic,Group,Class,Word,Count
health,dem-lead,0,health,6069
health,dem-lead,0,care,4473
health,dem-lead,0,condition,2411
health,dem-lead,0,insurance,1974
health,dem-lead,0,people,1470
health,dem-lead,0,preexist,1460
health,dem-lead,0,million,1256
health,dem-lead,0,american,1163
health,dem-lead,0,affordable,1064
health,dem-lead,0,need,1044
health,dem-lead,1,health,5093
health,dem-lead,1,care,4497
health,dem-lead,1,affordable,1312
health,dem-lead,1,access,784
health,dem-lead,1,american,776
health,dem-lead,1,make,652
health,dem-lead,1,work,627
health,dem-lead,1,woman,577
health,dem-lead,1,fight,568
health,dem-lead,1,act,558
health,dem-base,0,health,510
health,dem-base,0,condition,505
health,dem-base,0,care,463
health,dem-base,0,#voteblue,449
health,dem-base,0,preexist,371
health,dem-base,0,#resist,362
health,dem-base,0,vote,278
health,dem-base,0,tax,259
health,dem-base,0,medicare,219
health,dem-base,0,social,202
health,dem-base,1,health,292
health,dem-base,1,care,278
health,dem-base,1,vote,174
health,dem-base,1,#voteblue,156
health,dem-base,1,social,85
health,dem-base,1,#resist,84
health,dem-base,1,security,83
health,dem-base,1,medicare,78
health,dem-base,1,affordable,77
health,dem-base,1,#bluewave,77
health,rep-lead,0,health,1387
health,rep-lead,0,care,979
health,rep-lead,0,insurance,385
health,rep-lead,0,condition,331
health,rep-lead,0,american,224
health,rep-lead,0,cost,221
health,rep-lead,0,preexist,201
health,rep-lead,0,bill,184
health,rep-lead,0,act,179
health,rep-lead,0,people,171
health,rep-lead,1,health,1687
health,rep-lead,1,care,1470
health,rep-lead,1,affordable,202
health,rep-lead,1,american,198
health,rep-lead,1,act,185
health,rep-lead,1,today,168
health,rep-lead,1,access,152
health,rep-lead,1,bill,146
health,rep-lead,1,law,141
health,rep-lead,1,vote,138
health,rep-base,0,health,433
health,rep-base,0,#maga,253
health,rep-base,0,mental,214
health,rep-base,0,care,212
health,rep-base,0,#trump,144
health,rep-base,0,condition,134
health,rep-base,0,#gop,125
health,rep-base,0,insurance,121
health,rep-base,0,gun,101
health,rep-base,0,preexist,98
health,rep-base,1,health,185
health,rep-base,1,care,123
health,rep-base,1,#maga,107
health,rep-base,1,mental,72
health,rep-base,1,#trump,65
health,rep-base,1,#gop,42
health,rep-base,1,vote,27
health,rep-base,1,trump,27
health,rep-base,1,medicare,26
health,rep-base,1,affordable,25
econ_jobs,dem-lead,0,class,1687
econ_jobs,dem-lead,0,work,1686
econ_jobs,dem-lead,0,middle,1647
econ_jobs,dem-lead,0,tax,1585
econ_jobs,dem-lead,0,job,1152
econ_jobs,dem-lead,0,american,1099
econ_jobs,dem-lead,0,people,975
econ_jobs,dem-lead,0,family,855
econ_jobs,dem-lead,0,wage,851
econ_jobs,dem-lead,0,worker,824
econ_jobs,dem-lead,1,business,1851
econ_jobs,dem-lead,1,small,1364
econ_jobs,dem-lead,1,job,1304
econ_jobs,dem-lead,1,work,1040
econ_jobs,dem-lead,1,american,845
econ_jobs,dem-lead,1,class,731
econ_jobs,dem-lead,1,create,726
econ_jobs,dem-lead,1,middle,718
econ_jobs,dem-lead,1,people,665
econ_jobs,dem-lead,1,worker,616
econ_jobs,dem-base,0,#resist,542
econ_jobs,dem-base,0,get,358
econ_jobs,dem-base,0,tax,338
econ_jobs,dem-base,0,job,305
econ_jobs,dem-base,0,trump,286
econ_jobs,dem-base,0,class,280
econ_jobs,dem-base,0,work,270
econ_jobs,dem-base,0,#democrats,259
econ_jobs,dem-base,0,middle,259
econ_jobs,dem-base,0,people,229
econ_jobs,dem-base,1,job,213
econ_jobs,dem-base,1,#resist,173
econ_jobs,dem-base,1,good,166
econ_jobs,dem-base,1,get,119
econ_jobs,dem-base,1,people,109
econ_jobs,dem-base,1,trump,105
econ_jobs,dem-base,1,work,103
econ_jobs,dem-base,1,#democrats,90
econ_jobs,dem-base,1,pay,77
econ_jobs,dem-base,1,american,76
econ_jobs,rep-lead,0,job,925
econ_jobs,rep-lead,0,tax,768
econ_jobs,rep-lead,0,business,714
econ_jobs,rep-lead,0,american,644
econ_jobs,rep-lead,0,small,558
econ_jobs,rep-lead,0,work,503
econ_jobs,rep-lead,0,economy,452
econ_jobs,rep-lead,0,middle,391
econ_jobs,rep-lead,0,class,382
econ_jobs,rep-lead,0,create,347
econ_jobs,rep-lead,1,business,2287
econ_jobs,rep-lead,1,small,1742
econ_jobs,rep-lead,1,job,1513
econ_jobs,rep-lead,1,create,832
econ_jobs,rep-lead,1,american,747
econ_jobs,rep-lead,1,tax,691
econ_jobs,rep-lead,1,economy,574
econ_jobs,rep-lead,1,work,550
econ_jobs,rep-lead,1,new,467
econ_jobs,rep-lead,1,great,459
econ_jobs,rep-base,0,#maga,999
econ_jobs,rep-base,0,#trump,623
econ_jobs,rep-base,0,job,534
econ_jobs,rep-base,0,get,479
econ_jobs,rep-base,0,market,384
econ_jobs,rep-base,0,stock,363
econ_jobs,rep-base,0,american,347
econ_jobs,rep-base,0,trump,326
econ_jobs,rep-base,0,work,326
econ_jobs,rep-base,0,pay,315
econ_jobs,rep-base,1,#maga,651
econ_jobs,rep-base,1,job,442
econ_jobs,rep-base,1,good,298
econ_jobs,rep-base,1,#trump,293
econ_jobs,rep-base,1,get,247
econ_jobs,rep-base,1,trump,214
econ_jobs,rep-base,1,american,189
econ_jobs,rep-base,1,market,166
econ_jobs,rep-base,1,stock,154
econ_jobs,rep-base,1,trade,150
immigration,dem-lead,0,border,1054
immigration,dem-lead,0,child,907
immigration,dem-lead,0,family,867
immigration,dem-lead,0,separate,673
immigration,dem-lead,0,immigration,665
immigration,dem-lead,0,policy,639
immigration,dem-lead,0,trump,565
immigration,dem-lead,0,parent,490
immigration,dem-lead,0,wall,426
immigration,dem-lead,0,need,327
immigration,dem-lead,1,immigration,401
immigration,dem-lead,1,reform,276
immigration,dem-lead,1,border,194
immigration,dem-lead,1,family,185
immigration,dem-lead,1,policy,150
immigration,dem-lead,1,trump,107
immigration,dem-lead,1,wall,105
immigration,dem-lead,1,comprehensive,82
immigration,dem-lead,1,separation,72
immigration,dem-lead,1,support,72
immigration,dem-base,0,border,892
immigration,dem-base,0,#democrats,704
immigration,dem-base,0,#resist,512
immigration,dem-base,0,illegal,477
immigration,dem-base,0,wall,434
immigration,dem-base,0,want,324
immigration,dem-base,0,child,308
immigration,dem-base,0,trump,261
immigration,dem-base,0,open,229
immigration,dem-base,0,immigrant,220
immigration,dem-base,1,wall,174
immigration,dem-base,1,#resist,157
immigration,dem-base,1,border,134
immigration,dem-base,1,#democrats,118
immigration,dem-base,1,build,114
immigration,dem-base,1,trump,103
immigration,dem-base,1,illegal,72
immigration,dem-base,1,#resistance,68
immigration,dem-base,1,family,66
immigration,dem-base,1,immigration,60
immigration,rep-lead,0,border,1657
immigration,rep-lead,0,illegal,1040
immigration,rep-lead,0,immigration,681
immigration,rep-lead,0,secure,597
immigration,rep-lead,0,security,426
immigration,rep-lead,0,immigrant,406
immigration,rep-lead,0,wall,383
immigration,rep-lead,0,law,350
immigration,rep-lead,0,want,319
immigration,rep-lead,0,alien,292
immigration,rep-lead,1,border,391
immigration,rep-lead,1,sanctuary,295
immigration,rep-lead,1,city,287
immigration,rep-lead,1,immigration,280
immigration,rep-lead,1,illegal,238
immigration,rep-lead,1,wall,155
immigration,rep-lead,1,secure,151
immigration,rep-lead,1,support,136
immigration,rep-lead,1,reform,124
immigration,rep-lead,1,security,108
immigration,rep-base,0,#maga,1682
immigration,rep-base,0,border,1308
immigration,rep-base,0,illegal,1125
immigration,rep-base,0,wall,884
immigration,rep-base,0,#trump,587
immigration,rep-base,0,alien,495
immigration,rep-base,0,immigrant,455
