Token,Uid,Link,Affiliation
MarkHolbrook_ME,3437948260,https://twitter.com/MarkHolbrook_ME,R
PeteOlson,12726012,https://twitter.com/PeteOlson,R
JFitz4Congress,9.78476E+17,https://twitter.com/JFitz4Congress,R
CartwrightPA,472315803,https://twitter.com/CartwrightPA,D
Fierro4Texas,9.58099E+17,https://twitter.com/Fierro4Texas,R
Axne4Congress,8.67495E+17,https://twitter.com/Axne4Congress,D
ABrindisiNY,915831762,https://twitter.com/ABrindisiNY,D
alanlowenthal,562232053,https://twitter.com/alanlowenthal,D
amieformaryland,3437178665,https://twitter.com/amieformaryland,R
BevGoldstein,4307845348,https://twitter.com/BevGoldstein,R
BennieGThompson,82453460,https://twitter.com/BennieGThompson,D
18thIL,7.27253E+17,https://twitter.com/18thIL,D
aguilarpete,41533245,https://twitter.com/aguilarpete,D
Abby4Iowa,1262017122,https://twitter.com/Abby4Iowa,D
anthonygonzalez,9.00026E+17,https://twitter.com/anthonygonzalez,R
Archie4Congress,8.39665E+17,https://twitter.com/Archie4Congress,D
PetersCongress,9.79037E+17,https://twitter.com/PetersCongress,R
MooneyforWV,1491350114,https://twitter.com/MooneyforWV,R
BarbaraComstock,37481291,https://twitter.com/BarbaraComstock,R
ArtForCongress,121785273,https://twitter.com/ArtForCongress,
AmyMcGrathKY,2783231383,https://twitter.com/AmyMcGrathKY,
Nanette4CA,303633791,https://twitter.com/Nanette4CA,
EspaillatNY,182217410,https://twitter.com/EspaillatNY,
DDAdamsCongress,8.4574E+17,https://twitter.com/DDAdamsCongress,
chiproytx,1257667158,https://twitter.com/chiproytx,
DelgadoforNY19,8.29062E+17,https://twitter.com/DelgadoforNY19,
DonJBacon,3109108467,https://twitter.com/DonJBacon,
Colvin4Congress,2321020927,https://twitter.com/Colvin4Congress,
Frank4NC,9.60258E+17,https://twitter.com/Frank4NC,
CresentHardy,250272501,https://twitter.com/CresentHardy,
CongPalazzo,299883942,https://twitter.com/CongPalazzo,
CourtneyTritch,8.81588E+17,https://twitter.com/CourtneyTritch,
davidjtrone,4851790919,https://twitter.com/davidjtrone,
drwright4congr1,4917311502,https://twitter.com/drwright4congr1,
ElijahECummings,2507127289,https://twitter.com/ElijahECummings,
dana_balter,8.23729E+17,https://twitter.com/dana_balter,
drkyle4congress,8.62874E+17,https://twitter.com/drkyle4congress,
DanaRohrabacher,19139963,https://twitter.com/DanaRohrabacher,
chelliepingree,14984637,https://twitter.com/chelliepingree,
DougRBennett,8.62778E+17,https://twitter.com/DougRBennett,
DavidRouzer,127941167,https://twitter.com/DavidRouzer,
DesaraeLindsey,295923904,https://twitter.com/DesaraeLindsey,
CurtisUT,26057209,https://twitter.com/CurtisUT,
dgvaladao,36676406,https://twitter.com/dgvaladao,
daynasteele,15778047,https://twitter.com/daynasteele,
DevinNunes,54412900,https://twitter.com/DevinNunes,
DannyKDavis,53941120,https://twitter.com/DannyKDavis,
CraigCameron07,8.93125E+17,https://twitter.com/CraigCameron07,
ColinAllredTX,346964561,https://twitter.com/ColinAllredTX,
DuncanHunter,185818978,https://twitter.com/DuncanHunter,
CongCulberson,24183358,https://twitter.com/CongCulberson,
DickWithington,293531326,https://twitter.com/DickWithington,
dandonovan_ny,3041543943,https://twitter.com/dandonovan_ny,
DougLaMalfa,19808819,https://twitter.com/DougLaMalfa,
ElectFrench,1740229652,https://twitter.com/ElectFrench,
CollinsNY27,557794383,https://twitter.com/CollinsNY27,
eldercongress,2157290814,https://twitter.com/eldercongress,
LloydSmuckerPA,4212470319,https://twitter.com/LloydSmuckerPA,
johnfbriscoe,139770510,https://twitter.com/johnfbriscoe,
jackiewalorski,14562874,https://twitter.com/jackiewalorski,
JGHertzler,1216330232,https://twitter.com/JGHertzler,
Joe_Manchik,7.30886E+17,https://twitter.com/Joe_Manchik,
GOPWhip,2693983838,https://twitter.com/GOPWhip,
jodyhice,130003817,https://twitter.com/jodyhice,
JennieLouLeeder,700359998,https://twitter.com/JennieLouLeeder,
JodeyArrington,3609064098,https://twitter.com/JodeyArrington,
goossencongress,2288698518,https://twitter.com/goossencongress,
JeannineLeeLake,9.58453E+17,https://twitter.com/JeannineLeeLake,
Grossman4NJ,1122821040,https://twitter.com/Grossman4NJ,
GuestCongress,9.5375E+17,https://twitter.com/GuestCongress,
JohnElleson,393128081,https://twitter.com/JohnElleson,
janschakowsky,24195214,https://twitter.com/janschakowsky,
JimmyPanetta,4228409359,https://twitter.com/JimmyPanetta,
JeffNc2,9.6134E+17,https://twitter.com/JeffNc2,
GregoryMeeks,9.2633E+17,https://twitter.com/GregoryMeeks,
guyfuray,21264915,https://twitter.com/guyfuray,
gtsagan,87306418,https://twitter.com/gtsagan,
JayWebberNJ,2956955584,https://twitter.com/JayWebberNJ,
HamCountyDems,623106697,https://twitter.com/HamCountyDems,
JoeVitollo,3453543734,https://twitter.com/JoeVitollo,
JaredGuyThomas,8.57592E+17,https://twitter.com/JaredGuyThomas,
JaredHuffman,334894942,https://twitter.com/JaredHuffman,
jeffreywhipple,33675482,https://twitter.com/jeffreywhipple,
GasperforOH10,9.51153E+17,https://twitter.com/GasperforOH10,
JohnJoyceForPA,9.69328E+17,https://twitter.com/JohnJoyceForPA,
GregForMontana,3420965229,https://twitter.com/GregForMontana,
Gaither4IL,8.71811E+17,https://twitter.com/Gaither4IL,
Jim_Jordan,18166778,https://twitter.com/Jim_Jordan,
JasenWunder,368096055,https://twitter.com/JasenWunder,
HidalgoFor51st,4318918160,https://twitter.com/HidalgoFor51st,
HarleyRouda,27789237,https://twitter.com/HarleyRouda,
jessforcongress,8.75461E+17,https://twitter.com/jessforcongress,
RepJohnKatko,2966765501,https://twitter.com/RepJohnKatko,
KeshaRogersTX,2233526708,https://twitter.com/KeshaRogersTX,
KathyManningNC,9.36626E+17,https://twitter.com/KathyManningNC,
marygayscanlon,9.61313E+17,https://twitter.com/marygayscanlon,
McCormickForCO,2402554158,https://twitter.com/McCormickForCO,
LUnderwood630,8.72156E+17,https://twitter.com/LUnderwood630,
MikeTurnerOH,380498919,https://twitter.com/MikeTurnerOH,
martin4maryland,9.38931E+17,https://twitter.com/martin4maryland,
KellenTX22,9.67589E+17,https://twitter.com/KellenTX22,
LutchiGayot,7.86553E+17,https://twitter.com/LutchiGayot,
latta4congress,93575832,https://twitter.com/latta4congress,
JulieForTX25,9.0051E+17,https://twitter.com/JulieForTX25,
LizForIndiana,8.21666E+17,https://twitter.com/LizForIndiana,
mad4pa,9.35717E+17,https://twitter.com/mad4pa,
MikeLevinCA,14573926,https://twitter.com/MikeLevinCA,
JoshGottheimer,431105217,https://twitter.com/JoshGottheimer,
LinseyFaganTX,8.26981E+17,https://twitter.com/LinseyFaganTX,
karringtonsc,25375137,https://twitter.com/karringtonsc,
miguellevario19,8.43279E+17,https://twitter.com/miguellevario19,
LorieB4Congress,8.59459E+17,https://twitter.com/LorieB4Congress,
MarinoPA10,2831788290,https://twitter.com/MarinoPA10,
Lee4USCongress,9.75926E+17,https://twitter.com/Lee4USCongress,
MikeRogersCamp,76069325,https://twitter.com/MikeRogersCamp,
KYComer,838462994,https://twitter.com/KYComer,
MichaelJCloud,23725826,https://twitter.com/MichaelJCloud,
JoshuaWelle,614396144,https://twitter.com/JoshuaWelle,
Meuser4Congress,9.03355E+17,https://twitter.com/Meuser4Congress,
Kopser4Congress,8.59841E+17,https://twitter.com/Kopser4Congress,
MaryGeren,788200771,https://twitter.com/MaryGeren,
MarkDeSaulnier,30252303,https://twitter.com/MarkDeSaulnier,
KeithRothfus,1155212191,https://twitter.com/KeithRothfus,
MarkHarrisNC9,1884515737,https://twitter.com/MarkHarrisNC9,
MikeKellyforPA,113763245,https://twitter.com/MikeKellyforPA,
RepGraceMeng,1051127714,https://twitter.com/RepGraceMeng,
pgunnels,24260550,https://twitter.com/pgunnels,
RepHankJohnson,24745957,https://twitter.com/RepHankJohnson,
RalphNorman,61886317,https://twitter.com/RalphNorman,
Price4WNC,8.93546E+17,https://twitter.com/Price4WNC,
repbenraylujan,19318314,https://twitter.com/repbenraylujan,
OH5forGalbraith,8.84408E+17,https://twitter.com/OH5forGalbraith,
parkscentral11,9.65813E+17,https://twitter.com/parkscentral11,
perrygershon,3330000369,https://twitter.com/perrygershon,
RepBera,950783972,https://twitter.com/RepBera,
PhilKurtz3,9.5735E+17,https://twitter.com/PhilKurtz3,
RepGaramendi,88806753,https://twitter.com/RepGaramendi,
RajaForCongress,62649021,https://twitter.com/RajaForCongress,
RepBillJohnson,211530910,https://twitter.com/RepBillJohnson,
RepDaveJoyce,976969338,https://twitter.com/RepDaveJoyce,
RepAnnaEshoo,249348006,https://twitter.com/RepAnnaEshoo,
OhForCongress,9.69737E+17,https://twitter.com/OhForCongress,
RepEBJ,168502762,https://twitter.com/RepEBJ,
RepBrianHiggins,33576489,https://twitter.com/RepBrianHiggins,
RepDMB,2364682111,https://twitter.com/RepDMB,
NitaLowey,221792092,https://twitter.com/NitaLowey,
Perry4Congress,482585877,https://twitter.com/Perry4Congress,
RepEliotEngel,164007407,https://twitter.com/RepEliotEngel,
RepChrisStewart,1072008757,https://twitter.com/RepChrisStewart,
Nate_McMurray,1356368317,https://twitter.com/Nate_McMurray,
raulruiz,18466570,https://twitter.com/raulruiz,
Porter4Us,8.2685E+17,https://twitter.com/Porter4Us,
PatrickMcHenry,27676828,https://twitter.com/PatrickMcHenry,
MorganGriffith,130714799,https://twitter.com/MorganGriffith,
RepAndreCarson,199325935,https://twitter.com/RepAndreCarson,
RatcliffeTX4,2196360306,https://twitter.com/RatcliffeTX4,
Palmer4Alabama,2296943622,https://twitter.com/Palmer4Alabama,
NickStellaMD,3689107349,https://twitter.com/NickStellaMD,
jerameyanderson,599377549,https://twitter.com/jerameyanderson,
Flores4Congress,97171189,https://twitter.com/Flores4Congress,
JDScholten,8.87704E+17,https://twitter.com/JDScholten,
RepLipinski,1009269193,https://twitter.com/RepLipinski,
RepSpeier,24913074,https://twitter.com/RepSpeier,
RepMimiWalters,47798449,https://twitter.com/RepMimiWalters,
RepLarryBucshon,234812598,https://twitter.com/RepLarryBucshon,
RepKarenBass,239949176,https://twitter.com/RepKarenBass,
RepJudyChu,193732179,https://twitter.com/RepJudyChu,
RodneyDavis,993153006,https://twitter.com/RodneyDavis,
Schneider4IL10,278005891,https://twitter.com/Schneider4IL10,
reygonzalez34,7.70442E+17,https://twitter.com/reygonzalez34,
RepTomReed,252819323,https://twitter.com/RepTomReed,
RubenCongress,7.12743E+17,https://twitter.com/RubenCongress,
RepTomRice,1058345042,https://twitter.com/RepTomRice,
SmallingforCD35,9.43296E+17,https://twitter.com/SmallingforCD35,
RepVeasey,1074129612,https://twitter.com/RepVeasey,
reschenthaler,477223342,https://twitter.com/reschenthaler,
RobertsOhioD6,9.35542E+17,https://twitter.com/RobertsOhioD6,
RickKennedyTX17,9.03763E+17,https://twitter.com/RickKennedyTX17,
SeanCasten,66804351,https://twitter.com/SeanCasten,
RepVisclosky,193872188,https://twitter.com/RepVisclosky,
Sara4Congress,9.03277E+17,https://twitter.com/Sara4Congress,
ShireenGhorbani,403663140,https://twitter.com/ShireenGhorbani,
ScottRTipton,18060563,https://twitter.com/ScottRTipton,
RepShimkus,15600527,https://twitter.com/RepShimkus,
SanfordBishop,249410485,https://twitter.com/SanfordBishop,
RepRQWilliams,448093236,https://twitter.com/RepRQWilliams,
Sewell4Congress,69326168,https://twitter.com/Sewell4Congress,
RepLloydDoggett,153944899,https://twitter.com/RepLloydDoggett,
Rick_Neal,31034167,https://twitter.com/Rick_Neal,
RepJohnYarmuth,384913290,https://twitter.com/RepJohnYarmuth,
RogerWilliamsTX,18197328,https://twitter.com/RogerWilliamsTX,
RepPerlmutter,20552026,https://twitter.com/RepPerlmutter,
RepKenMarchant,23976316,https://twitter.com/RepKenMarchant,
VanTaylorTX,21826591,https://twitter.com/VanTaylorTX,
TeamJeffries,479017220,https://twitter.com/TeamJeffries,
twestley777,9.91736E+17,https://twitter.com/twestley777,
tedlieu,21059255,https://twitter.com/tedlieu,
votepaulwalker,9.48965E+17,https://twitter.com/votepaulwalker,
SwisherforIdaho,9.3921E+17,https://twitter.com/SwisherforIdaho,
SusanPalmerOH,9.5825E+17,https://twitter.com/SusanPalmerOH,
vgescobar,38960144,https://twitter.com/vgescobar,
urbannavajo,2355794989,https://twitter.com/urbannavajo,
toddlitton,7.42904E+17,https://twitter.com/toddlitton,
SteveKingIA,48117116,https://twitter.com/SteveKingIA,
YvetteClarke,7.90257E+17,https://twitter.com/YvetteClarke,
votetimmons,9.58511E+17,https://twitter.com/votetimmons,
Vargas4Congress,8.95858E+17,https://twitter.com/Vargas4Congress,
votemorelle,9.77247E+17,https://twitter.com/votemorelle,
