Token,Uid,Link
ewarren,357606935,https://twitter.com/ewarren
BobMenendezNJ,407039290,https://twitter.com/BobMenendezNJ
ChrisMurphyCT,150078976,https://twitter.com/ChrisMurphyCT
HeidiHeitkamp,460376288,https://twitter.com/HeidiHeitkamp
JimRenacci,2337241560,https://twitter.com/JimRenacci
JoeManchinWV,113355380,https://twitter.com/JoeManchinWV
MariaCantwell,35567751,https://twitter.com/MariaCantwell
NelsonForSenate,555355209,https://twitter.com/NelsonForSenate
PhilBredesen,919993894141603840,https://twitter.com/PhilBredesen
RepKevinCramer,1048784496,https://twitter.com/RepKevinCramer
SenBillNelson,20597460,https://twitter.com/SenBillNelson
SenJohnBarrasso,202206694,https://twitter.com/SenJohnBarrasso
SenSanders,29442313,https://twitter.com/SenSanders
SenatorBrakey,926810064,https://twitter.com/SenatorBrakey
SenatorCantwell,117501995,https://twitter.com/SenatorCantwell
SenatorCarper,249787913,https://twitter.com/SenatorCarper
SheldonforRI,770121222,https://twitter.com/SheldonforRI
Susan4Senate,304137182,https://twitter.com/Susan4Senate
Susan_Hutch,304139821,https://twitter.com/Susan_Hutch
TraunerforWY,935221637829476352,https://twitter.com/TraunerforWY
amyklobuchar,33537967,https://twitter.com/amyklobuchar
cindyhydesmith,262192574,https://twitter.com/cindyhydesmith
clairecmc,16160352,https://twitter.com/clairecmc
espyforsenate,981691454962749440,https://twitter.com/espyforsenate
flanders4senate,847171099376914433,https://twitter.com/flanders4senate
kevincramer,28267055,https://twitter.com/kevincramer
kyrstensinema,20747881,https://twitter.com/kyrstensinema
maziehirono,92186819,https://twitter.com/maziehirono
tammybaldwin,87510313,https://twitter.com/tammybaldwin
tedcruz,23022687,https://twitter.com/tedcruz
tobeybbartee,1013551701188579328,https://twitter.com/tobeybbartee
VoteMarsha,63150856,https://twitter.com/VoteMarsha
RobArlett,2651517709,https://twitter.com/RobArlett
DiehlForSenate,849277824217362432,https://twitter.com/DiehlForSenate
ScottforFlorida,306389855,https://twitter.com/ScottforFlorida
MarthaMcSally,482450423,https://twitter.com/MarthaMcSally
LeahVukmir,28946201,https://twitter.com/LeahVukmir
NewbergerJim,902612614634725377,https://twitter.com/NewbergerJim
MattCoreyCT,2497703605,https://twitter.com/MattCoreyCT
HawleyMO,2352629311,https://twitter.com/HawleyMO
JohnJamesMI,861246117689925633,https://twitter.com/JohnJamesMI
KarinHousley,12145102,https://twitter.com/KarinHousley
TinaSmithMN,47724293,https://twitter.com/TinaSmithMN
Trooien4Senate,985251214228062210,https://twitter.com/Trooien4Senate
swell2205,3137040641,https://twitter.com/swell2205
DianneFeinstein,378631423,https://twitter.com/DianneFeinstein
stabenow,20113797,https://twitter.com/stabenow
Bowden4Senate,567930956,https://twitter.com/Bowden4Senate
MattForMontana,1376252790,https://twitter.com/MattForMontana
BobHugin,949089035556982786,https://twitter.com/BobHugin
MorriseyWV,478733284,https://twitter.com/MorriseyWV
SenDonnelly,216503958,https://twitter.com/SenDonnelly
McCandlessReed,969648670818811904,https://twitter.com/McCandlessReed
ACP_Bob_McNeil,61251827,https://twitter.com/ACP_Bob_McNeil
Campbell4MD,982457199380320256,https://twitter.com/Campbell4MD
BedwellforCongr,612861958,https://twitter.com/BedwellforCongr
OHaraCampaign,2599913002,https://twitter.com/OHaraCampaign
JaneRaybould,2151872245,https://twitter.com/JaneRaybould
VoteVohra,138526050,https://twitter.com/VoteVohra
JennyWilsonUT,2335899655,https://twitter.com/JennyWilsonUT
SenFeinstein,476256944,https://twitter.com/SenFeinstein
RogerWicker,11650762,https://twitter.com/RogerWicker
MickRich4Senate,4785136122,https://twitter.com/MickRich4Senate
MittRomney,50055701,https://twitter.com/MittRomney
RingelsteinME,912402069335805954,https://twitter.com/RingelsteinME
msabrin,108460311,https://twitter.com/msabrin
TeamHeinrich,183062944,https://twitter.com/TeamHeinrich
dbaria,32125811,https://twitter.com/dbaria
cleantechblog,15209334,https://twitter.com/cleantechblog
SenatorCardin,109071031,https://twitter.com/SenatorCardin
RichardCharlesI,1880168863,https://twitter.com/RichardCharlesI
RosenforNevada,4749863113,https://twitter.com/RosenforNevada
RepLouBarletta,239871673,https://twitter.com/RepLouBarletta
jontester,16473577,https://twitter.com/jontester
michaelsforNV3,705384137889177600,https://twitter.com/michaelsforNV3
SenTedCruz,1074480192,https://twitter.com/SenTedCruz
CheleFarley,958786718513160192,https://twitter.com/CheleFarley
SenBobCasey,171598736,https://twitter.com/SenBobCasey
lucy4senate,722092071285207042,https://twitter.com/lucy4senate
DeanHeller,41363507,https://twitter.com/DeanHeller
nealjsimon,913073247469604864,https://twitter.com/nealjsimon
Aalders_Senate,985904307017924614,https://twitter.com/Aalders_Senate
SherrodBrown,24768753,https://twitter.com/SherrodBrown
SenGillibrand,72198806,https://twitter.com/SenGillibrand
timkaine,172858784,https://twitter.com/timkaine
kdeleon,30815935,https://twitter.com/kdeleon
SenatorMenendez,18695134,https://twitter.com/SenatorMenendez
SenAngusKing,1068481578,https://twitter.com/SenAngusKing
Sen_JoeManchin,234374703,https://twitter.com/Sen_JoeManchin
CoreyStewartVA,259045004,https://twitter.com/CoreyStewartVA
RepJimRenacci,236916916,https://twitter.com/RepJimRenacci
braun4indiana,1861019372,https://twitter.com/braun4indiana
BetoORourke,342863309,https://twitter.com/BetoORourke
SenatorFischer,1071402577,https://twitter.com/SenatorFischer
